consuming_tx_hash,input_tx_out_id,input_created_in_tx,input_out_index,input_lovelace,input_ada,input_address,address_role
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5244972,bbb4aeecef32af1733bfd0fc997c24cb1e41b15633a4ddbee0b9461adc3d4671,0,3421308259,3421.308259,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5257943,fb11b9b18f313df0edca00e94d914e05fe671f4101afe108208b66e8fef4b994,0,129521433984,129521.433984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5259649,bfa00c16b75f4d2a2424c8409935464a8df4617315c283fae34027266e49ed46,0,7475375984,7475.375984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5259974,f01f020e251685671742ec9b38be4eb74b0bd589c75edfafbedac771b7259be1,0,749834159,749.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5261007,895db8cdd6f064480dcac630221469f8847d4c53c8a2d3bb0fd0d072c40c5f0c,0,6998704732,6998.704732,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5262310,eae0645e65680dbcee783cc64a91b51b2ffff0321e085228c7dddf886e0e08ab,0,21998833984,21998.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5272169,a5f4ce48edeb4010a720b97ccd7e3f096d37c7a902dc7c68c3e8257bf2a2b89a,0,82299833984,82299.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5276959,1fee2540f93ef61ecf526c96d592b4ca49439b1d323f93fef5866efc6fe9872e,0,30089754495,30089.754495,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5299825,df4f074c6d2be3a59dec7be5b7fb80a1a4ec2920313d16dc609ee4f53ad0ba95,0,1049826205,1049.826205,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5317937,b9d4647ab6c60a75844f7e0e86266f01e4d35c9513de395368e4658a859ec7c0,0,24834159,24.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
