consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
d4a6e14d23b6ea394bb97ab0b0caaf056f914db525cefd1c547b40613099f3e8,255,2021-03-22 21:15:26+00,30,30
de14504f0c831fee35e2bfcb9c1c128396eccdea066321c2d889527b12abe21f,255,2021-03-26 00:06:12+00,40,20
982846fa489923f563eeb593c7897f7f53bc922a3fa18cdcbea7d92e95a1da09,255,2021-03-25 18:07:29+00,14,14
21ea2178063f61c529d719c939eae1f1928087449179fdf78795e7ca3421edad,255,2021-03-23 22:48:09+00,16,16
023f75aa900b0bb3dd7a0730ea4e0b918b5bac869e37f6093cd7718ff03a24b9,255,2021-03-25 19:41:39+00,20,20
430eaf27ae11ecfe217c68d3682950d1b54b894821c6e3165db3bbcb9ca18eaa,255,2021-03-23 06:30:55+00,8,16
de3e472691b2671bcdf6bfef56f127ac635ec188ba11d7d70d20d5bde0710640,255,2021-03-25 12:37:36+00,6,12
1e7bc1bf66d15259a608421c0ba9244717548a5fa680d1c0d9197cf9924cf6ca,255,2021-03-26 11:11:41+00,8,8
38709952dfc136a732a921135407a68b81ab98fb138ff8f0b852048999e2f245,255,2021-03-25 15:34:28+00,20,10
e60b046e82126e7ea3180e427f6f5f385087ae519d2435318ddbf84262d49f02,255,2021-03-26 13:42:12+00,18,18
