epoch_no,drep_id,drep_hash_id,has_script,amount_lovelace,active_until
653,drep13ma5jfzm38pvf5gackpldfupcj8tmr9r9ulmcp3e9ks8vk4nk98,186722,False,5570146266,625
653,drep13ngqerkf33r2pz9emyvcu9f05w9ywhf4nqhwhysa4cmcxvdj09p,46276,False,68535258777,664
653,drep13nmvvj8wvf584n02qznh4dkch69jm50aza6hlyq6ylk7j0rkqlr,49791,False,92047046185,669
653,drep13nv2gv5d8r6kal49rdtr9pmyu52lfpwwmnuqfa3drs5gyhq3ya3,1508,False,2350936974,579
653,drep13pt92p7tc2qd9pl7jwmak2hyz2qyw40k5ywjfymkl3rjynnfe8d,235747,False,54374,653
653,drep13qdeep8uemaypwwe6qmasp34afh9l5vs2z4tw8l09cf0x7qyrua,11248,False,14753558435,597
653,drep13qgtkedmrnvauf6g5l0z9gpp7sjtyxuqc8errg9jj5z3jgm86x5,5341,False,147542859,631
653,drep13qrhsx7qm7cm70ky0eynzat4vsmrqmlwqc0ntyfk0kh75yxfxf2,7965,False,378007547925,532
653,drep13rvd9s0095ev0kan7tuqu08kkjn7w82mre7q4j94a89724w3ggv,33604,False,28774165,576
653,drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,59,False,2758602503411,667
653,drep13txvdf0jsm50feqhccqtjj4taaqchdc7nuvr7jn5m0jk2knvjx7,233708,False,8989450721,672
653,drep13u452z2d7xwzdmh205v6w2fuvgp6msyam3al57nak0ehyeyxrvx,5528,False,1954568451039,664
653,drep13uw6nhhw5ucfxyw5pp9z937jvltt922kkqvaudc207fsyvn2dft,28717,False,83380236852,625
653,drep13v2w4fdzt8mdqsrrlqyysvj64qsnd5j8ey839kxh3ujajsmv6cg,244245,False,1236014132437,672
653,drep13v8x2hdntxl76m5v66rvtu648p34hqmghjfngj7u9eukue664a4,150525,False,123803131911,609
653,drep13vm4l38pmsw7eryf2fl6m732fdr6thv7kqezefcw2822spp4tpj,41892,False,4071735,558
653,drep13whcp5axqsjv0y7a8vd550prngjx5254mlj9cjp5g2qxvtf2tpr,49344,False,3007601236,585
653,drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,88,False,14299441920,671
653,drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,154,False,1200938275501,670
653,drep13x5a3c9txr00c5nvrr6utv0zzec4k93k6yd527fgve026m4erln,94059,False,5857884,584
653,drep13xjl4d3zdhzuv9lfmrqkvfqrgum8hyqfg23uwkpx52zuujwms08,200738,False,57280375,632
653,drep13xwenys2lwtuhsr5r7wua0m9xdl52dsdv2dgv28lvwu8wzqcuah,3372,False,1140909334,657
653,drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,3293,False,1077985530495,670
653,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,1003,False,9093921267135,668
653,drep144aqf7238378fsgky9xcrxp6894aw04ycc4fqfghgjp8cppup45,112365,False,7008104458,592
653,drep144wfkax4lcn9rwfp66z9l60a5ra58nlfwdvl8spenddr5t3m03n,269,False,1485341167,529
653,drep146689jwtuyzun6pj7a7e2kxquh9t9c2lx5l9ztpgnn74q5pffpn,177200,False,64678518534,649
653,drep14a3p62p4pll88q482argafnnushc7flnn3r502qlf2fu57l9zn8,261991,False,18157,670
653,drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,18909,False,20264433192961,671
653,drep14g32lj36uc2ja48tzkah0a82c78zgeaxmh0whpvuyt235u5tjrp,32452,False,11797545316,551
653,drep14gjqh5uez0x22ppmtc96znnltzkssd8cxn9n72zhln93cfemuc6,15441,False,2715001006955,580
653,drep14htjan2w5sutfsjkv0fyvtgxeupjz0xkpcqwq8l76mv95h4wf98,49845,False,40604813270,559
653,drep14jw4hedn0hxfng99gdehd0l78e6pksndlh35ed9unsfavna7dma,182730,False,438443035544,672
653,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,712,False,7529185829382,670
653,drep14m432q88dzhj96tfyzvhqk09agk8t05mxgqhqweada8tgagyglj,79758,False,268826314278,670
653,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,34,False,43468259378192,664
653,drep14q6ns48605zkf6u6mts8dahakcf38ys43x4m8z2yd84suqcf6c5,4073,False,3654553,529
653,drep14q7g8k8m4se5unp3tl4972hem6ut45zx0pwgqlre0rzuwuy72h4,3540,False,388516421458,672
653,drep14qjx83m39eh57fpuh530ddj5nmvy0ekjra32zfvzexkkvg9caja,224835,False,5783769,648
653,drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,1414,False,4560249066022,661
653,drep14qqaag69jsjkuyxz8tql8ev9ghuftdq04s3gxsa02hcqvg8d6s5,71284,False,783501636366,600
653,drep14qxpu3qrflr2y6v87hy2ddldxfgexdx98pm47d49c0u4zl5xc5q,157419,False,1008650437,609
653,drep14r3cfh2r3zvlq2hj5slt754eamvkwhpyg2q6gnlttqx274gvgnf,10435,False,14342586639,537
653,drep14szkhaljfxt3pvl3un4py82tavyy9vga8u5ct8gjeu2cj4369aj,129550,False,27853553835,595
653,drep14t5em0542xgkqs5v64yadnma0q8q3lc0vagev23wvqey28m8zh3,54899,False,65220191,651
653,drep14ua35t65qul2yt4s4vac80k2ps2c7fqvchenwh7ap4ng2adt8xs,38145,False,2011344040,556
653,drep1508rppkf6gv9rlx5uuyytj7k3mwf05c2mmw8hlpq43juzrzk8es,5608,False,118321769,586
653,drep1526vywz49jweqq39rvvw429vxcdpwvrwc33ycrdymv5jqeavazh,50669,False,795899014014,660
653,drep154r6hqyyhlhys69x05wekzhq2nhpw5g7k29dgn28chvu7nj90k4,109,False,9036057,527
653,drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,9493,False,11855666488381,672
653,drep155mx8fszw892n4f0afmy8vern5takfkuycgdgkfxxd3fws4gmfk,3786,False,38291608975,646
653,drep156ve0n0022grgwz5yu49n6t0w60njz2veehux865e5e5kyfc0lq,1776,False,1301410699620,671
653,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,44748,False,39474998975001,665
653,drep159gyj5naypamldy257r9g8hsmj8caxrjdw8j3ez0zl0qqu23zd6,59403,False,3453284271474,668
653,drep15csaja33a8vqe9hq5re678p0hd0yerpwgxen88gw4xl7k4cq7r5,107837,False,13719822459,590
653,drep15dhxmqgz80u27n92lwmscgu38ddygvtvhwm7gzx50yxevakp3qh,33851,False,291749911948,656
653,drep15hxx9tf7nwj8m3jv76h9npchu798009q3guc5ffsulrjgyjd0sz,79575,False,56174406718,653
