endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
ipv4:169.58.72.224,ipv4,169.58.72.224,6000,169.58.72.224,t,,,105.56,13865142,-49,t,2026-08-28 00:51:46+00
ipv4:169.58.99.143,ipv4,169.58.99.143,3001,169.58.99.143,t,,,113.71,13865142,-49,t,2026-08-28 00:51:47+00
ipv4:170.106.164.250,ipv4,170.106.164.250,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:34+00
ipv4:170.187.203.117,ipv4,170.187.203.117,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:40+00
ipv4:172.104.144.137,ipv4,172.104.144.137,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:52+00
ipv4:172.104.193.249,ipv4,172.104.193.249,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:52+00
ipv4:172.104.205.31,ipv4,172.104.205.31,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:52+00
ipv4:172.105.101.143,ipv4,172.105.101.143,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:52+00
ipv4:172.105.187.96,ipv4,172.105.187.96,3001,172.105.187.96,t,,,180.96,13865142,-49,t,2026-08-28 00:51:48+00
ipv4:172.105.245.77,ipv4,172.105.245.77,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:53+00
ipv4:172.31.75.190,ipv4,172.31.75.190,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:53+00
ipv4:172.8.96.155,ipv4,172.8.96.155,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:53+00
ipv4:173.15.110.154,ipv4,173.15.110.154,6000,173.15.110.154,t,,,17.27,13865142,-49,t,2026-08-28 00:51:49+00
ipv4:173.15.110.155,ipv4,173.15.110.155,6000,173.15.110.155,t,,,13.71,13865142,-49,t,2026-08-28 00:51:49+00
ipv4:173.179.47.202,ipv4,173.179.47.202,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:55+00
ipv4:173.203.202.144,ipv4,173.203.202.144,3001,173.203.202.144,t,,,67.28,13865142,-49,t,2026-08-28 00:51:49+00
ipv4:173.212.202.234,ipv4,173.212.202.234,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:55+00
ipv4:173.212.204.41,ipv4,173.212.204.41,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:56+00
ipv4:173.212.205.241,ipv4,173.212.205.241,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:57+00
ipv4:173.212.221.13,ipv4,173.212.221.13,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:57+00
ipv4:173.212.222.136,ipv4,173.212.222.136,4001,,f,refused,Connection refused,,,,f,2026-08-28 01:20:57+00
ipv4:173.212.240.156,ipv4,173.212.240.156,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:57+00
ipv4:173.212.249.209,ipv4,173.212.249.209,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:57+00
ipv4:173.24.228.129,ipv4,173.24.228.129,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:57+00
ipv4:173.24.228.129,ipv4,173.24.228.129,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:59+00
ipv4:173.244.243.4,ipv4,173.244.243.4,3001,173.244.243.4,t,,,52.26,13865142,-49,t,2026-08-28 00:51:52+00
ipv4:173.249.16.18,ipv4,173.249.16.18,3001,,f,refused,Connection refused,,,,f,2026-08-28 01:21:04+00
ipv4:173.249.22.154,ipv4,173.249.22.154,3000,173.249.22.154,t,,,110.0,13865142,-49,t,2026-08-28 00:51:53+00
