snapshot_utc,trace_schema,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,trace_value_to_drep_power_ratio,min_depth,max_depth,root_overlap_summary
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,640,297720207470339,297720207.470339,weak_behavior_signal,17,17,34704789100,34704.7891,0.00011657,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,11,640,173282170863023,173282170.863023,coordinated_like,20,20,32049817764,32049.817764,0.00018496,12,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,14704,640,30924603994810,30924603.99481,coordinated_like,8,8,31138178000,31138.178,0.00100691,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep18g58zce55n90pqhpjm9u00w5ry72wkp9c33algqd8rupums2kmq,92225,640,654790729319,654790.729319,weak_behavior_signal,1,1,30527441000,30527.441,0.04662168,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ef0pqfwpc8qlfvq22qxflz0jzhtxcxx3ufj3ck8z9mupxjcsz3v,17248,640,2123310917114,2123310.917114,weak_behavior_signal,4,4,30403997738,30403.997738,0.01431915,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,33802,640,4482295601033,4482295.601033,coordinated_like,5,5,28875641571,28875.641571,0.00644215,11,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,963,640,28595840669390,28595840.66939,weak_behavior_signal,10,10,28558502690,28558.50269,0.00099869,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,high_confidence_retained_like,34,34,28197581860,28197.58186,0.00012667,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,3576,640,49754332425803,49754332.425803,weak_behavior_signal,1,1,27443000000,27443.0,0.00055157,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,42,640,62682578605590,62682578.60559,coordinated_like,37,37,25922428063,25922.428063,0.00041355,11,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,146,640,22610136035242,22610136.035242,weak_behavior_signal,2,2,25819100629,25819.100629,0.00114193,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,18717,640,21023252499607,21023252.499607,coordinated_like,2,2,23317212500,23317.2125,0.00110912,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1nvuyn6ldjenkcnjd005qt76ygmxuv5x2l2ram7eud4uywtrhp7k,3511,640,1383630791830,1383630.79183,weak_behavior_signal,8,8,22953738304,22953.738304,0.0165895,13,14,emurgo; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,2876,640,2464305485448,2464305.485448,weak_behavior_signal,10,10,21471876768,21471.876768,0.00871316,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,1003,640,9392759515811,9392759.515811,weak_behavior_signal,3,3,21324855006,21324.855006,0.00227035,14,14,iog
