snapshot_utc,trace_schema,root_seed_id,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,current_trace_rows,current_utxos,current_stake_credentials,current_lovelace,current_ada,min_depth,max_depth
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,probable_retained_like,12,12,2,39416784534,39416.784534,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,1414,640,4582679159038,4582679.159038,weak_behavior_signal,2,2,2,39108576629,39108.576629,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep19rhf5qxl77swh33s62nraagytcrr6kplflxnunztrce02vczr4g,20525,640,1178937583325,1178937.583325,coordinated_like,2,2,1,38718123000,38718.123,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_no_confidence,27,640,176605061827128,176605061.827128,coordinated_like,40,40,24,37268519477,37268.519477,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,11,640,173282170863023,173282170.863023,high_confidence_retained_like,8,8,1,35775169846,35775.169846,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1rxdd99vu338y659qfg8nmpemdyhlsmaudgv4m4zdz7m5vd9p2hm,9537,640,716212076365,716212.076365,weak_behavior_signal,5,5,1,34999214479,34999.214479,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,cf,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,155,640,93575476629369,93575476.629369,probable_retained_like,1,1,1,34777745451,34777.745451,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,640,297720207470339,297720207.470339,weak_behavior_signal,17,17,10,34704789100,34704.7891,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,cf,,,,,,weak_behavior_signal,4,4,4,34687102470,34687.10247,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,11,640,173282170863023,173282170.863023,coordinated_like,20,20,5,32049817764,32049.817764,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,14704,640,30924603994810,30924603.99481,coordinated_like,8,8,1,31138178000,31138.178,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep18g58zce55n90pqhpjm9u00w5ry72wkp9c33algqd8rupums2kmq,92225,640,654790729319,654790.729319,weak_behavior_signal,1,1,1,30527441000,30527.441,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1ef0pqfwpc8qlfvq22qxflz0jzhtxcxx3ufj3ck8z9mupxjcsz3v,17248,640,2123310917114,2123310.917114,weak_behavior_signal,4,4,2,30403997738,30403.997738,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep_always_abstain,14,640,9222311038820501,9222311038.8205,trace_only,8,8,8,30133332743,30133.332743,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,33802,640,4482295601033,4482295.601033,coordinated_like,5,5,1,28875641571,28875.641571,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,cf,drep_always_abstain,14,640,9222311038820501,9222311038.8205,probable_retained_like,15,15,1,28681564662,28681.564662,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,963,640,28595840669390,28595840.66939,weak_behavior_signal,10,10,7,28558502690,28558.50269,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,high_confidence_retained_like,34,34,8,28197581860,28197.58186,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,3576,640,49754332425803,49754332.425803,weak_behavior_signal,1,1,1,27443000000,27443.0,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,42,640,62682578605590,62682578.60559,coordinated_like,37,37,11,25922428063,25922.428063,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,146,640,22610136035242,22610136.035242,weak_behavior_signal,2,2,2,25819100629,25819.100629,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,18717,640,21023252499607,21023252.499607,coordinated_like,2,2,1,23317212500,23317.2125,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1nvuyn6ldjenkcnjd005qt76ygmxuv5x2l2ram7eud4uywtrhp7k,3511,640,1383630791830,1383630.79183,weak_behavior_signal,7,7,1,22814000098,22814.000098,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,2876,640,2464305485448,2464305.485448,weak_behavior_signal,10,10,4,21471876768,21471.876768,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,1003,640,9392759515811,9392759.515811,weak_behavior_signal,3,3,2,21324855006,21324.855006,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1assw7l953xsy73ndy9sxmeqwy4yhr3gentgax7lcjynz7qkg5zx,128,640,1617837758992,1617837.758992,weak_behavior_signal,1,1,1,20071112572,20071.112572,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep_always_no_confidence,27,640,176605061827128,176605061.827128,high_confidence_retained_like,1,1,1,19788170000,19788.17,13,13
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,53942,640,297720207470339,297720207.470339,probable_retained_like,9,9,2,19600320718,19600.320718,12,14
