stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada
stake1uyz07qlqhrj56new4k89cvwfz8t4g2g07t7wky20rafn56sjt693u,158,22,35000000.000000,2022-01-31 11:39:05,2025-10-28 20:01:03,2025-10-28 12:01:16,t,1,pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,2022-03-21 19:11:19,329,1,drep_always_abstain,2025-02-09 21:18:21,2143940.283577,641,250,2135393.679994,2026-06-29 00:41:12,8546.603583
stake1uyd3ccjka7d7ykkyglmqr4j7zjudz08f7vun6pegp33ffxgvg2jyu,877,18,13316009.230187,2022-01-27 00:40:59,2026-07-03 12:00:27,2026-07-02 20:01:12,t,1,pool1kcvaxe4q4npwt28qlr3h84htjf4qrqglqk3cr2484ptycr0ldut,2022-03-21 15:56:11,329,1,drep_always_abstain,2025-02-09 22:20:30,3222153.409210,641,265,3222081.454813,2026-06-19 20:18:53,71.954397
stake1u9xuuarxury6acd82efafgav5zxv8jjn9kx7dgnc7vqmxgca6vspq,459,2,606182.280293,2022-01-27 15:40:31,2026-07-03 12:01:07,2026-07-03 12:01:07,t,1,pool1gk20vlqg7qq868avysckjcjtwyphtjurfwlgra45670ny6r4fww,2022-03-21 16:43:53,329,1,drep_always_abstain,2025-02-09 21:16:32,3242871.609641,641,273,3242871.580015,2026-06-24 00:17:50,0.029626
stake1uystea99325jdg0qmzdgwhn5s54rv2ugtdf5lq362mwq9tqu7ncdm,98,1,14.814174,2022-10-18 00:02:33,2026-07-02 20:01:12,2026-07-02 20:01:12,t,1,pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm,2022-10-11 18:42:54,370,1,drep_always_abstain,2025-02-09 18:45:37,2808199.269671,641,225,2808199.094067,2025-12-16 01:08:55,0.175604
stake1u82k3t706l77fncvq2fn49specvp2q74dvlf7jkdur8wkwqf9u75v,230,1,13.475360,2022-01-27 00:43:54,2025-06-24 12:10:07,2025-06-24 12:10:07,t,1,pool1xlst0jw9safmz3c8m56zvl4m65y306dcp48hdks8ursmsz2awm2,2022-03-21 16:10:46,329,1,drep_always_abstain,2025-02-11 18:23:54,2663528.956119,568,201,2663528.956119,2025-07-04 00:04:12,0.000000
stake1u87tyxdzrn9mqth4y5ejm6mcfqnq52dzjvz04n9s8j0fn6sdrxhaw,165,1,13.475360,2022-01-27 15:40:33,2025-03-19 12:10:01,2025-03-19 12:10:01,t,1,pool15kek228mhvnsncdjn77u8qtrn8hjh5wfzmh6g942xf0353yc77j,2022-03-21 16:32:49,329,5,drep_always_abstain,2025-02-11 03:13:18,2794761.652458,641,196,2794761.321157,2024-12-16 00:10:04,0.331301
stake1u8ejjt3u55lepswcfau5sy9j93fyxrvq76gtnahc8hsfnfs3tf70j,286,1,13.475360,2022-01-28 17:07:45,2025-06-18 18:20:35,2025-06-18 18:20:35,t,1,pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,2022-03-21 18:41:59,329,1,drep_always_abstain,2025-02-09 21:49:11,1674152.444895,641,208,1674152.003649,2025-06-29 00:16:36,0.441246
stake1u93fwlmwsuyyt325kkd7peqh77lfmvf72e6gksm34ysw5cgvlny2q,193,1,13.475360,2022-01-27 15:39:32,2025-06-23 20:10:09,2025-06-23 20:10:09,t,1,pool19zz6frugmvm82ecgl5hh5vq3093d4kzr4h2r5vfmt6la7trk929,2022-03-21 16:36:19,329,1,drep_always_abstain,2025-02-11 18:30:06,2811750.760873,641,222,2811750.078024,2025-07-04 00:04:52,0.682849
stake1uxere7r6krpajagpe26254pknqraalm4ungtlc2gzy4j09cuqfyne,66,1,13.475360,2022-01-27 00:44:34,2025-06-23 12:20:35,2025-06-23 12:20:35,t,1,pool1xlst0jw9safmz3c8m56zvl4m65y306dcp48hdks8ursmsz2awm2,2022-03-21 16:18:24,329,1,drep_always_abstain,2025-02-10 03:55:28,1611440.433380,568,197,1611440.433380,2025-07-04 00:02:09,0.000000
stake1uy0zkxq405sfdd63ruvcmfrm7gn0fht9my5muwyn7dselcgvsqynq,127,1,13.475360,2022-01-27 15:40:33,2025-06-22 20:50:38,2025-06-22 20:50:38,t,1,pool1hyqdlnuff3rnvg9lx70ccca2xqxcezzz4998tp6chhxnx2st257,2022-03-21 17:45:51,329,1,drep_always_abstain,2025-02-10 03:02:54,2730380.020312,641,221,2730379.531378,2025-07-04 00:05:25,0.488934
stake1uyzawt8zx5wzt6el0v2pjy5ftlrdfze0vw5tn4g5a9zg3ssd3acff,195,1,13.475360,2022-01-13 21:24:16,2025-03-15 12:10:03,2025-03-15 12:10:03,t,3,pool1qv3velgldz529zq904jy9qfrhdh0akwkkhylu2rymd6sw9m02cc,2022-03-22 22:03:39,330,5,drep_always_abstain,2025-02-11 03:04:05,1840323.097591,473,139,1840323.097591,2024-03-16 05:37:58,0.000000
