endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
ipv4:119.42.55.236,ipv4,2,2501273,635,KOALA CARE4,pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw pool1zfhww5y28t303z6uyq3w47pkhfmxww9dsn89vrxteplg2zjkekl
dns:relayeu.discovery-pool.com,dns,2,2455077,551,DIVY GXY,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx pool1wnshjhwqv9j7fgd4tkynpsqr0xczns4pghljy5j4z4qjj7qy4d4
dns:relayus.discovery-pool.com,dns,2,2455077,551,DIVY GXY,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx pool1wnshjhwqv9j7fgd4tkynpsqr0xczns4pghljy5j4z4qjj7qy4d4
ipv4:194.163.129.101,ipv4,2,2455077,551,DIVY GXY,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx pool1wnshjhwqv9j7fgd4tkynpsqr0xczns4pghljy5j4z4qjj7qy4d4
ipv4:75.119.136.95,ipv4,2,2455077,551,DIVY GXY,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx pool1wnshjhwqv9j7fgd4tkynpsqr0xczns4pghljy5j4z4qjj7qy4d4
ipv4:161.97.108.250,ipv4,2,1883814,294,CHRTY ELIK,pool1qqenhz258k5k9nyjull6gkzg7s4f3ae8v7qxwpegeef9v0nsy3e pool1dkt4rqtjs6j6d8snna60s2g002ddcj5h62nee59mvsznk20q300
dns:mangoada.twilightparadox.com,dns,2,1781991,66,MANGO _Q_,pool1ntwurms3f0j4kqe5wfpg9chlasylp0lmuw72m4fn66vnuyrvs8v pool1n5ytegzw3enscfw4t8wsjytrz228agvm9c3xaarce7pgjzftdtx
ipv4:195.20.234.59,ipv4,2,1781991,66,MANGO _Q_,pool1ntwurms3f0j4kqe5wfpg9chlasylp0lmuw72m4fn66vnuyrvs8v pool1n5ytegzw3enscfw4t8wsjytrz228agvm9c3xaarce7pgjzftdtx
dns:relay1.arcadia-relays.com,dns,2,1712395,182,TESLA ADAMS,pool1gu33fszp9ek0w9fkdt2xpnp4vznvvv2vhktc0dypa8fr53lc9pc pool1g5k0fks847av9zdayg05htnj8wx0ah7jmnwwqlt63rjdzyjr93n
dns:relay2.arcadia-relays.com,dns,2,1712395,182,TESLA ADAMS,pool1gu33fszp9ek0w9fkdt2xpnp4vznvvv2vhktc0dypa8fr53lc9pc pool1g5k0fks847av9zdayg05htnj8wx0ah7jmnwwqlt63rjdzyjr93n
ipv4:3.234.185.23,ipv4,2,1343290,23,BNP BNP,pool1nwv3c3q62lqcdgp7s0jtl4xldgfnjnt0szkdclk4tzjqzv6kv7n pool1jsala5rdc0hjewcvu9dujcz8jpfxp7hadqr3r3hzs63skhhtpqs
dns:relay-1-nuc.junostakepool.com,dns,2,1101551,196,JUNO POEM,pool1we0xjccr3vc4ypnmhzsgwp7sxpsytu8dtv0syeqmtrllvcex68q pool1eg6k5zz4ndk6a3sa3z7ug97y84ghj0zljs26zkhthzzkw3p82ew
ipv4:94.130.191.208,ipv4,2,961243,1047,MEDIA HOSK,pool17pv7m8h5dxsyt55upay8n8ake2cgcz4mcr737um2tl8d2wthzqr pool1u8yequt4vq3jhajeegc02r3msnne6krayxuzrypaz8jkq5v5pux
dns:cobra.adafrog.io,dns,2,741990,31,COAST ZENY,pool1qqqq58jy30weq2an3px3maljdmawcwh6ml4hr8m9euq9z2n7wyz pool1qqqq02jxq3q9j93devp9pts90ctm8w3r0rgek97ngujpjgpw46j
