flow_level,leaf_utxos,qty_night,pct_of_supply
621,1,685.708426,0.0
623,1,1636.732848,0.0
624,2,1481.238757,0.0
626,1,42020.0,0.0002
627,1,4.379091,0.0
628,1,0.032181,0.0
631,1,530.884047,0.0
633,1,7.583554,0.0
638,1,294.691306,0.0
639,1,7.902097,0.0
641,2,1448.273348,0.0
642,1,1.864378,0.0
643,2,18.66885,0.0
644,1,228.449585,0.0
645,1,54488.399017,0.0002
647,1,4039.229857,0.0
649,1,0.317308,0.0
651,1,3.280424,0.0
652,3,2814834.504957,0.0117
654,1,0.081853,0.0
655,1,6.839039,0.0
656,3,20.240737,0.0
658,1,1887.106858,0.0
659,1,8.519804,0.0
660,1,2.059097,0.0
661,1,705.409321,0.0
662,2,123.160163,0.0
663,2,3.30191,0.0
664,1,3.347417,0.0
666,1,0.028531,0.0
667,1,74.623146,0.0
674,1,13.337679,0.0
675,3,290.565421,0.0
678,1,3.400174,0.0
679,2,2037.418726,0.0
680,1,2.902975,0.0
683,3,36.400991,0.0
685,1,0.375224,0.0
688,1,0.253272,0.0
689,1,85.044031,0.0
691,1,1778.081639,0.0
695,1,11.93324,0.0
699,3,30004.133402,0.0001
700,2,61.335557,0.0
701,3,772.057053,0.0
702,2,100320.192807,0.0004
703,1,3.463403,0.0
704,3,80227.022469,0.0003
705,2,58770.91,0.0002
706,1,1.393567,0.0
707,1,64235.0,0.0003
708,1,0.09605,0.0
710,1,15.378593,0.0
712,3,12581.546926,0.0001
715,1,3.432737,0.0
717,1,100.0,0.0
719,1,20263.7335,0.0001
721,2,50004.930083,0.0002
722,3,50927.811164,0.0002
724,1,0.000159,0.0
725,1,31.29245,0.0
726,2,70619.109813,0.0003
727,2,367.409657,0.0
729,1,648.667752,0.0
730,1,0.005087,0.0
731,1,0.02346,0.0
732,1,0.000128,0.0
733,1,20000.0,0.0001
734,1,12024.92,0.0001
735,1,0.003387,0.0
736,3,91635.01794,0.0004
739,3,356.71283,0.0
740,1,24.040899,0.0
741,1,0.002173,0.0
743,1,0.000212,0.0
746,2,25.28967,0.0
747,1,985.1699,0.0
748,1,0.436102,0.0
751,2,184.684725,0.0
754,2,676.335306,0.0
755,1,605.056975,0.0
758,1,4.270361,0.0
759,1,1.75874,0.0
762,2,37.445207,0.0
766,2,4.70619,0.0
770,4,5067.367799,0.0
771,1,530.30766,0.0
772,3,9267.557751,0.0
774,1,0.046538,0.0
775,1,0.861595,0.0
776,1,0.999259,0.0
777,2,100000.447337,0.0004
778,2,8.847753,0.0
779,2,154.287506,0.0
781,2,1151.990258,0.0
782,2,0.816214,0.0
783,1,15.043228,0.0
784,2,51.982324,0.0
786,3,1517.207696,0.0
788,2,100626.808049,0.0004
789,2,55938.145286,0.0002
790,1,5.22021,0.0
792,1,52.36253,0.0
795,2,50107.194512,0.0002
796,1,0.057341,0.0
798,2,23.572316,0.0
799,1,0.556843,0.0
801,1,19.44112,0.0
802,2,96.04419,0.0
803,3,55954.615588,0.0002
804,3,50028.927363,0.0002
805,1,15.588668,0.0
807,1,0.081513,0.0
808,1,0.000143,0.0
809,1,961.319222,0.0
810,2,2.57222,0.0
811,3,193353.47183,0.0008
816,1,0.031826,0.0
817,1,0.311344,0.0
819,1,0.612767,0.0
820,1,7.84161,0.0
821,3,3772.346343,0.0
823,1,3.274774,0.0
824,4,171.632755,0.0
825,3,4230.803944,0.0
826,1,25.293946,0.0
827,1,408.822189,0.0
829,2,3.740398,0.0
830,1,61635.0,0.0003
831,2,3054.704184,0.0
832,2,3778.627849,0.0
833,1,14.046871,0.0
837,1,502.320797,0.0
838,1,3.21531,0.0
841,2,800.193902,0.0
843,2,107.265025,0.0
844,1,241.918491,0.0
846,1,267.050766,0.0
847,2,236077.45213,0.001
848,2,1078.0,0.0
849,1,10.10577,0.0
850,2,941.453334,0.0
851,1,1105.1816,0.0
852,4,644.004046,0.0
853,1,10.0,0.0
854,1,2.073896,0.0
858,1,0.568234,0.0
859,1,0.01782,0.0
861,2,608.395253,0.0
863,1,3163.426444,0.0
866,1,56.562213,0.0
868,1,0.067789,0.0
870,2,2.613743,0.0
871,1,85935.0,0.0004
872,1,2000.0,0.0
874,3,139.701832,0.0
875,1,2.600265,0.0
876,1,4.9e-05,0.0
878,1,15.77437,0.0
882,1,6.48036,0.0
883,2,80.045068,0.0
887,2,856.496132,0.0
889,1,77.641389,0.0
890,1,37.028183,0.0
891,1,5.657193,0.0
892,2,4.489611,0.0
895,1,0.653922,0.0
899,2,553.045268,0.0
900,1,20167.2308,0.0001
902,2,2.897051,0.0
904,1,0.00369,0.0
905,1,0.368041,0.0
906,1,4.315782,0.0
910,1,6.330007,0.0
912,1,0.059429,0.0
913,1,0.480009,0.0
914,1,217.621843,0.0
916,2,958.625147,0.0
