address,has_script,qty_night,utxos,pct_of_supply
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwtxvj28dgx7gqwc0y85d537svj3xt2typ7f83jc7mg0fr8slc434g,true,16038726.880402,1,0.0668
addr1q9nxf9rk5r0yq8v8jr6x6glgxfgn949jqlyncev0d5853nmxvj28dgx7gqwc0y85d537svj3xt2typ7f83jc7mg0fr8spajy6u,false,16038726.8804,2,0.0668
addr1qxzvc698jlgj44c309r2ykcdm3kmhdrnjkjzlcg2kggu0hmh4aek6eyr0dwzsr3rzkfpwg5qm57xtnlm4gsdhu4ctmdq2m9504,false,16004664.726278,149,0.0667
addr1x86wkztx2pqvvh9nlqclpfn3lc43gh8gjgqe258hp7fflr05avykv5zqcewt87p37zn8rl3tz3ww3yspj4g0wrujn7xsn3ekxy,true,15993798.312116,8,0.0666
DdzFFzCqrhsiUnesrZVHZoFzS1j9ozPXm8Z2NZEThuefQXzHjNzWzuGLLAJuJouNdep4ffGGWUsr4GYXqUCJVxbwvy6RkkQqwjMaCq4f,false,15902169.975696,1,0.0663
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwchgy44j29gmxjhd8f6ujt62kanwerv5gg5d5tkc242uzs4kxvsv,true,15778644.937716,1,0.0657
addr1x8srqftqemf0mjlukfszd97ljuxdp44r372txfcr75wrz26rnxqnmtv3hdu2t6chcfhl2zzjh36a87nmd6dwsu3jenqsslnz7e,true,15654499.027705,9,0.0652
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwf9sana7qv3mxl7nfwa7vtxqlm93z6etsg2fkkxpw0xcv4qj2utwh,true,15432419.917036,1,0.0643
addr1q90v9e0xsamkgtlxyfn89tv5e2s5dqpgutszu5rge7pwwhxxmf2xxuef400pk08r9y8sls8p6wr8t2ap90vdmqh7fa6sgkv97m,false,14874829.9,1,0.062
addr1qy90xg9kpkt376z9uzus958r939fnamz4r2wj9vlrqzdveqssd8lz98gc8frxupvujlayc0jhmzvy2jf77ycjtfec9yse4ea7u,false,14631766.464,1,0.061
