label,role,cip129_id,epoch_no,epoch_start_utc,voting_lovelace,voting_ada
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,620,2026-03-20 21:44:53+00,44523061436420,44523061.436420
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,621,2026-03-25 21:45:07+00,44559353069444,44559353.069444
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,622,2026-03-30 21:44:56+00,49584387256928,49584387.256928
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,623,2026-04-04 21:45:12+00,49629262179249,49629262.179249
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,624,2026-04-09 21:45:39+00,49633540976095,49633540.976095
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,625,2026-04-14 21:45:12+00,49652079437522,49652079.437522
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,626,2026-04-19 21:45:08+00,49654766157167,49654766.157167
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,627,2026-04-24 21:45:22+00,49649991961435,49649991.961435
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,628,2026-04-29 21:45:08+00,49656664095588,49656664.095588
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,629,2026-05-04 21:44:57+00,49711079854289,49711079.854289
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,630,2026-05-09 21:45:19+00,49526917507925,49526917.507925
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,631,2026-05-14 21:44:51+00,49528579690349,49528579.690349
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,632,2026-05-19 21:45:10+00,49704106682906,49704106.682906
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,633,2026-05-24 21:44:52+00,49728325987077,49728325.987077
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,634,2026-05-29 21:44:51+00,49733999400972,49733999.400972
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,635,2026-06-03 21:45:10+00,49753361881112,49753361.881112
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,636,2026-06-08 21:45:43+00,49671666614678,49671666.614678
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,637,2026-06-13 21:44:55+00,49590393574342,49590393.574342
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,638,2026-06-18 21:44:52+00,49603853345648,49603853.345648
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,639,2026-06-23 21:45:00+00,49679221759978,49679221.759978
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,640,2026-06-28 21:44:53+00,49754332425803,49754332.425803
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,641,2026-07-03 21:44:51+00,49842226211692,49842226.211692
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,642,2026-07-08 21:45:16+00,49882697494759,49882697.494759
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,643,2026-07-13 21:45:08+00,49904902277605,49904902.277605
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,644,2026-07-18 21:53:13+00,49940360802603,49940360.802603
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,645,2026-07-23 21:44:58+00,49960498551879,49960498.551879
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,646,2026-07-28 21:44:55+00,50879190607664,50879190.607664
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,647,2026-08-02 21:44:51+00,50964360963591,50964360.963591
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,648,2026-08-07 21:44:53+00,50968919378915,50968919.378915
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,649,2026-08-12 21:46:11+00,51016299523628,51016299.523628
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,508,2024-09-06 21:45:01+00,450193727739,450193.727739
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,509,2024-09-11 21:45:07+00,1673299707215,1673299.707215
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,510,2024-09-16 21:44:57+00,2097237570729,2097237.570729
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,511,2024-09-21 21:44:54+00,2232550095057,2232550.095057
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,512,2024-09-26 21:44:55+00,2486794530977,2486794.530977
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,513,2024-10-01 21:45:00+00,2500242205944,2500242.205944
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,514,2024-10-06 21:45:01+00,2564867663586,2564867.663586
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,515,2024-10-11 21:45:39+00,2571128046841,2571128.046841
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,516,2024-10-16 21:44:52+00,2634101968593,2634101.968593
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,517,2024-10-21 21:45:03+00,2658704157217,2658704.157217
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,518,2024-10-26 21:45:46+00,2864745119425,2864745.119425
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,519,2024-10-31 21:45:39+00,6425965690852,6425965.690852
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,520,2024-11-05 21:44:57+00,6815318346515,6815318.346515
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,521,2024-11-10 21:45:17+00,6919578308529,6919578.308529
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,522,2024-11-15 21:45:18+00,6954578049742,6954578.049742
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,523,2024-11-20 21:44:57+00,7374489575210,7374489.575210
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,524,2024-11-25 21:44:51+00,8047572954749,8047572.954749
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,525,2024-11-30 21:44:59+00,8244256175211,8244256.175211
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,526,2024-12-05 21:44:58+00,8607413777687,8607413.777687
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,527,2024-12-10 21:44:57+00,8744131269035,8744131.269035
chile,community7,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,528,2024-12-15 21:45:07+00,12491333625555,12491333.625555
