merge_tx_hash,epoch_no,block_no,block_time_utc,root_combo,root_count,traced_input_rows,traced_input_lovelace,min_input_depth,max_input_depth
737843c3c3846e0bfa74b55a527337ff9519e891e0db32b97189ddb1ecb2d1cc,71,1550760,2018-09-17 22:54:11,emurgo+fourth_entry_781m,2,2,40000199641600,8,8
bbf93d85f5d9f0170f40ab4bb2c36313a2dfc5e6eb7b24d569810a32adef691d,71,1553308,2018-09-18 13:03:31,emurgo+fourth_entry_781m,2,2,40000000000000,9,9
a3ba5a5a1d9a1952fcd83b498d67fc2b6a4c871ed8b7c6a831e4f2f741f55fc4,73,1579282,2018-09-24 13:26:11,emurgo+fourth_entry_781m,2,2,40000000000000,8,8
b3c4c48dc3e9851766e7f881af5c4baad672b2e9bcad6bf68ee4a1cf9aa1e09a,73,1579290,2018-09-24 13:28:51,emurgo+fourth_entry_781m,2,2,14000000000000,9,9
a6e47ae92bb5ebb562b42822d03c61139d13511be80e2dca6010c65da19c9ff2,73,1579294,2018-09-24 13:30:11,emurgo+fourth_entry_781m,2,2,25999999657508,9,9
7108cb095eca80a2b91ef47c7a9b4ce616bb7b7fd38a02208a952e784df7d417,80,1740629,2018-10-31 22:29:31,emurgo+fourth_entry_781m,2,2,800000000000,9,9
236b934575a719201df0c278c8025401438f6481913a08effd41e44509aff6c6,80,1740868,2018-10-31 23:49:11,emurgo+fourth_entry_781m,2,2,800000000000,8,8
4a2a45747cb7dfae68d3e9d2ce590816d6e57051b44b36b6725fa2762e758ad0,80,1743385,2018-11-01 13:50:31,emurgo+fourth_entry_781m,2,2,41833932,9,9
ec7109ef59972a42e94adfe50623f42900f2b1a78b5d982967d74421f632532f,80,1746848,2018-11-02 09:04:51,emurgo+fourth_entry_781m,2,2,799957823928,9,9
133ea2c6138aff5989e03a5a685b30876ea08e92d03df7673b09e1d07b6fdde8,81,1751705,2018-11-03 12:05:11,emurgo+fourth_entry_781m,2,2,13119336587712,8,8
c71c3d22856e83109dd0ae7414d1a7660ecd82fc8e1a5b519d01f81711b71674,81,1751731,2018-11-03 12:13:51,emurgo+fourth_entry_781m,2,2,13116772245572,9,9
582f2527316e841285ead03f51fb5d620a8aef47df60156946bb128454b39578,81,1751958,2018-11-03 13:29:31,emurgo+fourth_entry_781m,2,2,2564000000,9,9
979f97935a5adda2157d6cf7935763c8309164d7df0d0af7a41801a8310daa21,82,1776680,2018-11-09 06:56:11,emurgo+fourth_entry_781m,2,6,180000000000000,8,9
fecd74f7d420c22db8167559eb00df88204dba3ab7bfb518defd3bb3fe16558f,82,1776698,2018-11-09 07:02:11,emurgo+fourth_entry_781m,2,2,200000000,9,9
0fa60c424a71c817724dc7409282cdd3cd680beb81c9dbcace2ca9a783b8621f,82,1776707,2018-11-09 07:05:11,emurgo+fourth_entry_781m,2,2,5557570555875000,9,9
9550f20149969b735fd316e6930dee57271da9e50dab1d4cd864b6446fe1d744,82,1783197,2018-11-10 19:10:11,emurgo+fourth_entry_781m,2,2,789398972524,9,9
eb0344501f574df0d0b2caeb79d97f21fa879b51be5a55ad5ecbc8d9da7de483,87,1892356,2018-12-06 06:59:11,emurgo+fourth_entry_781m,2,2,32472202402,9,9
87adcb6df327f4dfd168f3dbd977eb7392995a13233d933692e923d3c50aa7da,87,1892443,2018-12-06 07:28:11,emurgo+fourth_entry_781m,2,2,31085236554,8,8
c1e9a0487d657fc382e65cdc75e977cd65ecfa37e2e81db703c73deb337fa5b5,87,1892477,2018-12-06 07:39:31,emurgo+fourth_entry_781m,2,2,28199226218,6,6
8013abbd21c7832fe76909d61acc2166e57c3c65373675a56676fcf418aeda2f,87,1892515,2018-12-06 07:52:11,emurgo+fourth_entry_781m,2,2,26128576492,7,7
87d8400a58482ea4d34c50be7ae728c817c278f6f63dd98cec437ef8fb38c5f6,87,1892732,2018-12-06 09:04:31,emurgo+fourth_entry_781m,2,2,18587475890,8,8
7d48a8d20008c18970e550c02d6eb5bff41c981571bc621981d31afa3dc2447d,87,1892749,2018-12-06 09:10:11,emurgo+fourth_entry_781m,2,2,17758300400,8,8
63c60a2a023bbb29ee633d6426ba53a59a8bff5ee45ee738ea423794a889d714,87,1892767,2018-12-06 09:16:11,emurgo+fourth_entry_781m,2,2,16108962940,9,9
f43ab04603516da4160fc3e1ebe9c5e3708d3a2480d5c3648415c7b954704bf1,87,1892846,2018-12-06 09:42:31,emurgo+fourth_entry_781m,2,2,13004500698,7,7
0a364635c7849651165c0b6095161bc658d910e97a140b71dc7f56383d7e5cd5,87,1892850,2018-12-06 09:43:51,emurgo+fourth_entry_781m,2,2,12750036902,9,9
af7178a1bb684c97d16f289d0cbfa230f20c97e9be2a8b6cb8031c8b03ea3d22,87,1893011,2018-12-06 10:37:31,emurgo+fourth_entry_781m,2,2,9289037606,9,9
5313badc385a8d423be22f384eeb579003a6729120beb32bf09bd90f81d9e97a,87,1893136,2018-12-06 11:19:11,emurgo+fourth_entry_781m,2,2,5441632672,9,9
41815ebcc05b50dc5de5ab06f23daec567e8989e0af496beacd7f3299784c7b2,87,1893160,2018-12-06 11:27:11,emurgo+fourth_entry_781m,2,2,4628752906,9,9
dcb6e230c8fef39a313dea9e9b4bea813d5b29e690e148bedf572dcc40e92d1c,87,1893220,2018-12-06 11:47:11,emurgo+fourth_entry_781m,2,2,3755701342,8,8
1dd35e0d54c6c600f6d6809343fd24e70a0cc7f0d6a188150f09fcc08f0023e0,87,1893381,2018-12-06 12:40:51,emurgo+fourth_entry_781m,2,2,1277807356,9,9
40cc9f5b428d9021b17ccba38ecd30c09334683549cc0326473db77b9e3dc030,87,1898456,2018-12-07 16:54:11,emurgo+fourth_entry_781m,2,2,1200000000000,9,9
ea1c3cf7a155b8d54370561da65bfcf380e58576cd3a813eaae31947d5dfbdc7,87,1898595,2018-12-07 17:40:31,emurgo+fourth_entry_781m,2,2,1200000000000,7,7
eca90197a9e36b15851a4ba4742ad105856fb6913ee75cfeab9322bfcabbb862,87,1898906,2018-12-07 19:24:11,emurgo+fourth_entry_781m,2,2,14902098000000,8,8
e2ce7b2cbc1b325787cdc1b5ecbb6bb9d0e56064bbbda92e183464c25ccd19da,88,1901727,2018-12-08 11:04:31,emurgo+fourth_entry_781m,2,2,1000000000000,8,8
ee596065bff410ab8e60662c777d8b52558c13f004da22e256bf490e99310065,88,1902238,2018-12-08 13:54:51,emurgo+fourth_entry_781m,2,2,998203457860,9,9
d2ae0d03cff0ce9a75eb5c30668583a745f7eeae0e58f669a1fc3d32f07d7dea,88,1908862,2018-12-10 02:43:11,emurgo+fourth_entry_781m,2,2,800000000000,9,9
