hop,destination,enterprise_only,txs,total_ada
1,DdzFFzCqrhsjixDzdBFaQr8jEkCzBvfbNKRCsRjrMoWqHoKUH2Zon83f9WU1j4doW4m56fGtGvzC6aE5txttcERYdFR8FNhsiWKdmKa8,t,1,52560.875550
1,Ae2tdPwUPEZFCi2VoBR7JnCJ8nm6qJUqkbk1AfPre9dQ6f2cH1GXiE7HpBe,t,1,52260.819979
1,stake1ux05s6luagku6jz2kf2mqnrcqrjuggrfuheqpne8pl33g6qm2d98e,f,1,49903.739543
1,stake1uxh0tzd9w8x7hefwlsg3q0g33l6p8ttee0k56wr8qzl2sxg3raqzg,f,1,48056.685043
1,stake1uxca6c8k2t6qn9nasznhwsvjg65d2qu9xguhn3wrxj47rwc2v65yk,f,1,46889.820000
1,addr1v8d3gky44ystmfp7x7drskqyrfy2hy657jydrvjg7hxkt6qaaryql,t,1,45331.385007
1,stake1u8t263fpp583wgc8eal0qa9ylmar3ps59qfqnf0f7umqg8cglum8e,f,1,43989.905830
1,stake1u8r0trmsvz9qyenapvyrklcnfuvc90p57tqqhszhpg70qrqwan65l,f,1,43487.319979
1,stake1u9r46kv7gz5fv98qd96980svzz3xyz3zgkk8t3thfquhthqj3c03z,f,1,42490.861674
1,stake1u9a37zuxrkyqm4927j4tgmd6j3k3eljz3rklfrypwnz657s9p5tg4,f,1,42095.413149
1,stake1u9lhmgs3dhnmll5aj7sxz6tzct07k9c4usd24xz3khp66xgv28llh,f,1,41904.819979
1,DdzFFzCqrht8G5cUu2WHH8mV8kMduvP8gBtnM3vMrUKvXPKY3hbTVrqCJkNHmR2AhWH4xQjMzAw3GqLixDfk6bkvXQD4XiLH5ZFb3gcy,t,1,41900.000000
1,stake1u9nfscsjpf2kkms5wfufv6nhnp9jy55z76j296q4030kvjqrwplm0,f,1,40636.694908
1,DdzFFzCqrht3zBDUQMX2aGsytydwES48eVcw39dVazgp8jrgyWqiKVqdgmpWuMNpaB5VTkzCZhBVEEvpL2GQjbwQFt2djJxrzgeraaWW,t,1,40537.000000
1,DdzFFzCqrhsvATFCLdGjKzU7B74RbxRdwHTvm2QvrMurWepNv22omCZkNLXChPT68F8YGF9W9xjmBX4L1StvegzCWHgsSkFH1XLgMEhL,t,1,40077.726500
1,stake1u8hz67hwpzm6rd0mwyxc0q8we3wcdlnrxvjq5ym85a88n0qpeqrm7,f,1,40046.348631
1,stake1uyek2mcydlfe0lgp5gwkgqpkvkrls9eqmtml5nadaeyz3lqenqjg9,f,1,39366.298570
1,stake1ux5r7myfhycj234wpqyhh3h8skgwvq0hsstpw52f66857uq95cas6,f,2,39204.562257
1,stake1u9cu48hw3n0vyrw3t056hr3gml09mdjju675w9l6zt85d0qkhsrln,f,1,38462.934733
1,stake1uxy6k4xlvlgtaj6jpd57lt5s4aleg23r7d8f6qv0gq4k7ycuwfx73,f,1,34885.639958
1,DdzFFzCqrhsm6UjM6UYEG2i9HW28qaeeGJdMLHn8awUV36YE7SJA48AE45RZ5zDFH8pyiHgHgzpPQPDigWPQxDNq5LYtsGSgR4UWVHXZ,t,1,32656.684471
1,stake1u99xze2fmwsxj594dnuucx4ceqc9wx6mu909puky0n3p27sp8k64u,f,1,31611.918085
1,stake1u8ymfssspscfqnup2pznar6grn7a30tzx6euyxz7y4vnk3sc0qmf7,f,1,31601.250894
1,stake1u8x33mcg4gnm308rvgjwfp4n9e5fe4u6kx5rqfyynq6fvyqat8u4h,f,1,30822.965737
1,stake1u9h7gaqnpw3drdntf0l4s85smzaea2449qrzgz4zuf6a4pc0wmtuj,f,1,29595.827901
1,DdzFFzCqrhsqMHZJwrF9xLBNZcB7YSLf9BMGmD6X9tcvWZ5NGstpQvCmi5uiPv1FyTHMJDq7pgadwRZpCFW2F49ZZ5qkog7Fw2nK1XMa,t,1,28817.819979
1,stake1uxhleqhp2w6tkvlvc5xm3pvvgfyg72hjjk747yky4hu8fss83l0es,f,1,28549.962434
1,addr1v8jcnsmuprfzgsfg2g4uvg65xf3etu7dje0qrpndu5w69jqtrcr2m,t,1,28207.519979
1,stake1uyfd38f3xq9tnr9nu905d8pczxcedz8pfelz0rcvzr3y09cklgpdx,f,1,27562.442818
1,stake1u9cdfr0c8e5f4qwk5tj2mlx4u3m85pdcj0vpdmn30cykduc2xjvql,f,1,27200.000000
1,DdzFFzCqrhspY37dK3wZKrwK2y5jCFLyLz5tNkwgNBnpWub3PuXDnwWPvaWduo1Ey18gFJNEur97KvZ33D1QPYchZz2iWFdwhKEcDQAh,t,1,26756.300000
1,DdzFFzCqrhseGfj2GyQsyb3y36RfCHqLKVCFCVQSwKdBK7nDNxa73EfiPHJpJZviCUcx2Apd6y7c86KbHQ3fBDPaxLqhf9g3XxqPKvbs,t,1,26575.919979
1,stake1uynjcr9gje68xuzcf0mwpkwqahew3r3v3m7jpwvsffhvhdctrjdnr,f,1,26400.000000
1,stake1uxfjpdacmkmgmvvvhvg4uhnplcp7jef5uqdwawnq2ns44hg2gxaf5,f,1,25959.710244
1,stake1uyds27pj66xjwrv4ardqzqdedq2ew9az8ev6h28x6ejj9ls46t0ff,f,1,25637.812421
1,stake1u8n2h359m2ydyngumt9qwwldjh8ej42k92vknhecjujumyqp0tczz,f,1,24533.871676
1,stake1uyxfp3365u2uwp26ced67c9vq4nee5g6a9urqcx5tr2c5aqz5f3jp,f,1,22504.900000
1,Ae2tdPwUPEZGjmz3jS9eEnv9DkWma37dkCVEvyGbSXUr35348Sy7pGThGBN,t,1,22434.099832
2,addr1v95sf69jcfhnmknvffwmfvlvnccatqwfjcyh0nlfc6gh5scta2yzg,t,652,1198111355.336433
