stake_address,overlap_type,emurgo_outputs,emurgo2_outputs,emurgo_ada,emurgo2_ada
stake1u9hkaxtyas3gs3ulhe3ryplcfp5rqeexcvvwzdhrcqq8x4gypc3td,BOTH_EMURGO_SEEDS,12,12,431141.853643000000,431141.853643000000
stake1uxn4nvzq9yhl0ykfr07zjjauaa94xuhjl9mx2zxzh76jnhg4l9m2k,BOTH_EMURGO_SEEDS,2,2,428262.936400000000,428262.936400000000
stake1uxqagdmt8nkghmvh523twa7ekgr2jsqcsrs3r7ku2x84ugc9ddv98,BOTH_EMURGO_SEEDS,1,1,421281.609014000000,421281.609014000000
stake1u84nujqfj62chcay2kfsa6dahcm0jrna9yu05uhwx6t85ug79xyxu,BOTH_EMURGO_SEEDS,4,4,409999.793315000000,409999.793315000000
stake1uyj5nnr9fp62qdy0s5x8p7jwr5qwxet5y35w9mtg2tzw9fgzapn9d,BOTH_EMURGO_SEEDS,2,2,405934.365564000000,405934.365564000000
stake1u9efgynggd9256d38fmxs6gjhymjst79syckq3kd4u4s27gwze75t,BOTH_EMURGO_SEEDS,2,2,400714.490563000000,400714.490563000000
stake1uycchlhdrpr9q7w7ru5sk3dlghtvh4p0j6yrrp509lyvf6g3td8yr,BOTH_EMURGO_SEEDS,2,2,400626.746189000000,400626.746189000000
stake1u9z35rqes34nf0uleq8nh3q7604fhfhavpua70tfjlafjqsylh3cj,BOTH_EMURGO_SEEDS,35,35,400195.272857000000,400195.272857000000
stake1uyk348ymc68slaafew9wjdejcaj3q9asvvtcqsvs4ze2y9s3un7uf,BOTH_EMURGO_SEEDS,2,2,400009.000000000000,400009.000000000000
stake1u8shr4jd3c8tv5h9sw06dlfcd5n929y0zfd8kvrdahh4zvq9zwxsv,BOTH_EMURGO_SEEDS,1,1,395131.648139000000,395131.648139000000
stake1u9kgp39xvtsgswj0wz2sumxz05nyg0tss5ye74yypdayn3swevmdr,BOTH_EMURGO_SEEDS,20,20,388085.093105000000,388085.093105000000
stake1uy64z6fzkylnqwfgsr893nmljvewlv5guguf58fn830cfvsnrn24m,BOTH_EMURGO_SEEDS,2,2,386361.278194000000,386361.278194000000
stake1uylklqa62lmmur3durqt5nqm459pyuz5vckr0qhg9n2j3qs908hq7,BOTH_EMURGO_SEEDS,11,11,373467.201939000000,373467.201939000000
stake1u9mxh6g7sc4r85xxmlz0z28f0jwn8xhg2nwy9z68msp5rfstkggdh,BOTH_EMURGO_SEEDS,1,1,363096.857000000000,363096.857000000000
stake1u8n40732flzhwk9f9qchfenj8h29edzs68yg780j29zl8aq8xnqh9,BOTH_EMURGO_SEEDS,1,1,360000.000000000000,360000.000000000000
stake1uyvmprwd3a0lmh5pdtv8lk6c9t06724q07k2h7k2ppjnntcqkyyul,BOTH_EMURGO_SEEDS,3,3,359000.000000000000,359000.000000000000
stake1uycd233vdc4k68lfdjn27tsl8cg0lhv9qr90pmxss8qnzaccm5n67,BOTH_EMURGO_SEEDS,13,13,347072.101827000000,347072.101827000000
stake1u90503gk3ky243fu0jtd7cnvesfcuakwe25u4hz6uxnaxfg5uyczd,BOTH_EMURGO_SEEDS,1,1,345544.232988000000,345544.232988000000
stake1uytf3z9djlrazqjllghtrsau23f0f9qc77y0yw6jewp4jdc88lvdw,BOTH_EMURGO_SEEDS,11,11,341993.109590000000,341993.109590000000
stake1uyfssl4usz485sm9frq5rutzut72dst8n5h3dzs9xdxdlmq8qq9sg,BOTH_EMURGO_SEEDS,4,4,338907.820375000000,338907.820375000000
